Symbol,Crawl_Price,Price,Date_Start,Date_End
CDM,1,1,05/12/2006,23/08/2023
CDO,1,1,19/11/2021,22/08/2023
CDP,1,1,04/01/2000,23/08/2023
CDR,1,1,23/06/2021,23/08/2023
CDT,1,1,02/05/2006,23/08/2023
CDX,1,1,09/11/2005,23/08/2023
CE1,1,1,28/07/2006,23/08/2023
CEL,1,1,07/11/2007,23/08/2023
CEN,1,1,24/09/2015,23/08/2023
CF1,1,1,30/01/2007,23/08/2023
CFO,1,1,26/10/2016,05/01/2023
CG1,1,1,23/01/2018,23/08/2023
CGB,1,1,14/01/2008,23/09/2022
CGC,1,1,24/07/2015,23/08/2023
CGF,1,1,04/01/2000,23/08/2023
CGO,1,1,08/09/2000,23/08/2023
CGS,1,1,13/02/2004,23/08/2023
CHC,1,1,10/06/2005,23/08/2023
CHK,1,1,01/02/2012,23/08/2023
CHL,1,1,28/06/2021,23/08/2023
CHM,1,1,12/08/2003,23/08/2023
CHN,1,1,24/03/2006,23/08/2023
CHR,1,1,09/07/2021,23/08/2023
CHW,1,1,05/07/2023,23/08/2023
CHZ,1,1,29/05/2007,23/08/2023
CI1,1,1,22/05/2018,23/08/2023
CIA,1,1,08/06/2007,23/08/2023
CII,1,1,24/01/2000,04/08/2023
CIN,1,1,05/01/2000,23/08/2023
CIO,1,1,04/01/2000,18/12/2015
CIP,1,1,13/12/2012,23/08/2023
CIW,1,1,15/12/2000,23/08/2023
CKA,1,1,17/04/2000,23/08/2023
CKF,1,1,04/08/2011,23/08/2023
CL8,1,1,04/01/2000,23/08/2023
CLA,1,1,04/01/2000,23/08/2023
CLB,1,1,09/09/2004,06/10/2022
CLE,1,1,28/12/2005,23/08/2023
CLG,1,1,02/12/2021,23/08/2023
CLT,1,1,04/01/2000,11/08/2023
CLU,1,1,09/12/2020,21/08/2023
CLV,1,1,04/01/2000,22/08/2023
CLW,1,1,08/11/2016,23/08/2023
CLX,1,1,04/01/2000,23/08/2023
CLZ,1,1,24/05/2013,23/08/2023
CMD,1,1,10/08/2006,23/08/2023
CMG,1,1,29/09/2005,22/08/2023
CMM,1,1,07/07/2008,23/08/2023
CMO,1,1,29/09/2005,22/08/2023
CMP,1,1,21/12/2000,22/08/2023
CMW,1,1,05/01/2000,23/08/2023
CMX,1,1,06/01/2000,23/08/2023
CNB,1,1,30/08/2016,23/08/2023
CNI,1,1,26/03/2002,23/08/2023
CNJ,1,1,18/06/2007,23/08/2023
CNQ,1,1,06/06/2006,23/08/2023
CNU,1,1,21/11/2011,23/08/2023
CNW,1,1,10/02/2004,23/08/2023
COB,1,1,02/02/2017,23/08/2023
COD,1,1,07/06/2007,23/08/2023
COE,1,1,13/03/2002,23/08/2023
COF,1,1,10/12/2014,23/08/2023
COG,1,1,28/01/2003,23/08/2023
COH,1,1,04/01/2000,23/08/2023
COI,1,1,19/04/2004,23/08/2023
COL,1,1,21/11/2018,23/08/2023
COO,1,1,04/01/2000,23/08/2023
COS,1,1,24/01/2020,23/08/2023
COY,1,1,31/01/2008,22/08/2023
CPM,1,1,19/11/2021,23/08/2023
CPN,1,1,25/11/2020,23/08/2023
CPO,1,1,10/09/2021,21/08/2023
CPT,1,1,03/01/2007,23/08/2023
CPU,1,1,04/01/2000,23/08/2023
CPV,1,1,25/05/2018,23/08/2023
CQE,1,1,22/05/2003,23/08/2023
CQR,1,1,04/01/2000,23/08/2023
CR1,1,1,30/07/2018,14/08/2023
